CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad Cliente,Tiempo,COMBO_ZONA_TIEMPO
32679,8,6,1,2,1,0,0,0,1,20,0,0,0,1.0,1,0,0,2.58,1903,27860,0,2,61,0.0,0.3375342465753425
32684,8,6,1,2,1,2,0,1,1,11,1,0,1,1.0,1,3,0,2.37,2854,44729,1,0,38,0.35714285714285715,0.5923287671232877
32695,8,6,1,2,1,0,3,1,1,30,1,0,0,1.0,0,3,1,2.21,1903,0,0,2,46,0.0,0.3375342465753425
32702,8,6,1,2,1,0,0,1,1,40,0,0,0,0.0,1,3,1,2.51,2823,29940,0,1,56,0.0,0.0
32718,8,6,1,2,1,3,0,1,1,1,0,0,0,0.0,1,3,0,2.48,1903,18635,0,1,40,0.0,0.0
32723,8,6,1,2,1,3,3,1,1,21,0,0,0,1.0,1,3,0,2.44,1903,4523,0,1,52,0.0,0.3375342465753425
32731,8,6,1,2,1,2,0,1,1,8,1,0,0,1.0,1,3,0,2.29,2799,13908,0,1,45,0.0,0.3375342465753425
32733,8,6,1,2,1,0,0,1,1,26,0,0,0,0.0,1,3,0,2.51,2199,16605,0,2,65,0.0,0.0
32739,8,6,1,2,1,0,0,1,1,12,0,0,0,0.3333333333333333,1,3,0,2.35,1903,16877,0,2,54,0.0,0.11251141552511415
32741,8,6,1,2,1,2,0,1,1,26,1,0,0,0.3333333333333333,1,3,0,2.51,3095,19575,0,2,49,0.0,0.11251141552511415
32744,8,6,1,2,1,0,0,0,1,31,0,0,0,0.3333333333333333,1,3,0,2.52,1903,19269,0,2,55,0.0,0.11251141552511415
32764,8,6,1,2,1,0,0,0,1,31,0,0,0,1.0,1,3,1,2.46,1903,19740,1,1,40,0.5,0.6942465753424658
32765,8,6,1,2,1,0,0,1,1,8,0,0,0,0.0,1,3,0,2.48,1903,28944,0,1,44,0.0,0.0
32769,8,6,1,2,1,3,0,1,1,12,0,0,0,0.0,1,3,1,2.52,1903,14229,0,1,61,0.0,0.0
32804,8,6,1,2,1,3,0,1,1,1,0,0,0,1.0,1,0,0,2.43,1903,9427,1,2,39,0.35714285714285715,0.5923287671232877
32841,8,6,1,2,1,0,1,1,1,26,0,0,0,1.0,0,3,0,2.31,1903,0,0,1,26,0.0,0.3375342465753425
32842,8,6,1,2,1,3,0,1,1,29,0,0,0,1.0,1,3,0,2.51,1903,10659,1,2,44,0.42857142857142855,0.6432876712328767
32847,8,6,1,2,1,2,0,1,1,31,1,0,0,0.3333333333333333,1,3,0,2.51,2799,26818,0,2,54,0.0,0.11251141552511415
32877,8,6,1,2,1,0,0,1,1,26,0,0,0,1.0,0,2,1,2.11,1903,0,1,1,68,0.21428571428571427,0.4904109589041095
32889,8,6,1,2,1,3,0,0,1,6,0,0,0,0.3333333333333333,1,3,0,2.53,5614,33627,1,3,47,0.5714285714285714,0.5201826484018265
32890,8,6,1,2,1,2,0,1,1,47,1,0,0,0.0,1,0,0,2.51,5026,17648,1,2,39,0.7142857142857143,0.5095890410958904
32892,8,6,1,2,1,0,0,1,1,31,1,0,0,1.0,1,3,1,2.52,3682,16653,1,1,59,0.6428571428571429,0.796164383561644
32918,8,6,1,2,1,0,3,1,2,13,0,0,0,0.3333333333333333,1,1,0,2.43,1903,7680,0,1,60,0.0,0.11251141552511415
32921,8,6,1,2,1,2,0,0,1,42,1,0,0,0.0,1,3,0,2.45,4198,31556,1,0,47,0.42857142857142855,0.30575342465753425
32934,8,6,1,2,1,2,0,1,1,11,1,0,0,0.3333333333333333,1,3,1,2.52,2799,11909,0,2,44,0.0,0.11251141552511415
32943,8,6,1,2,1,3,0,0,1,31,0,0,0,0.3333333333333333,1,3,0,2.46,1903,26520,0,2,54,0.0,0.11251141552511415
32953,8,6,1,2,1,2,0,1,1,47,1,0,0,0.3333333333333333,1,3,0,2.54,2799,21737,0,2,53,0.0,0.11251141552511415
32957,8,6,1,2,1,0,0,1,1,8,0,0,0,1.0,0,0,0,2.19,1903,0,0,1,37,0.0,0.3375342465753425
32962,8,6,1,2,1,0,0,1,1,8,0,0,0,1.0,1,2,1,2.35,1903,12212,0,2,59,0.0,0.3375342465753425
32982,8,6,1,2,1,0,0,1,1,31,1,0,0,1.0,1,3,1,2.39,1903,27955,1,1,46,0.6428571428571429,0.796164383561644
32989,8,6,1,2,1,2,0,1,1,8,1,0,0,0.0,1,3,1,2.53,4000,21796,0,2,68,0.0,0.0
32992,8,6,1,2,1,0,0,1,1,31,0,0,0,0.0,1,3,0,2.48,1903,26957,0,2,41,0.0,0.0
32993,8,6,1,2,1,2,0,1,1,46,1,0,0,0.0,1,3,0,2.52,4198,33484,1,3,41,0.42857142857142855,0.30575342465753425
33059,8,6,1,2,1,2,0,0,1,31,1,0,0,0.3333333333333333,1,3,0,2.35,2799,10245,0,2,51,0.0,0.11251141552511415
33061,8,6,1,2,1,0,0,0,1,31,0,0,0,1.0,1,1,0,2.48,1903,29427,1,1,39,0.6428571428571429,0.796164383561644
33083,8,6,1,2,1,3,0,1,1,51,0,0,0,0.0,0,2,1,2.07,1903,0,0,1,56,0.0,0.0
33100,8,6,1,2,1,0,0,1,1,47,0,0,0,0.0,1,3,0,2.52,1903,19502,0,1,25,0.0,0.0
33115,8,6,1,2,1,2,0,1,1,21,1,0,0,0.0,0,0,0,2.17,5026,0,1,1,45,0.5,0.3567123287671233
33117,8,6,1,2,1,2,0,1,1,31,1,0,0,1.0,1,3,1,2.35,2799,14737,1,2,51,0.5,0.6942465753424658
33174,8,6,1,2,1,2,0,1,1,35,1,0,0,0.0,1,3,0,2.4,2799,15467,0,2,43,0.0,0.0
33186,8,6,1,2,1,0,0,1,1,8,0,0,0,0.3333333333333333,1,3,0,2.46,1903,14347,0,2,40,0.0,0.11251141552511415
